"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"860420193083953152","","","2017-05-05 09:05:34 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Living gave so much promise; death gives so much hopelessness....","","","",""
"860217623434416128","860215566996582400","834134874470625280","2017-05-04 19:40:38 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@SapphireMae13 @EGSandrew I wish I could say more on it but I was told to keep my lips sealed. 😞 It's gonna be a big night. I'll be okay...I just overthink things...","","","",""
"860215009779077125","860150897443262464","834134874470625280","2017-05-04 19:30:15 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@SapphireMae13 @EGSandrew It's bad...REALLY bad...but it's out of my hands...I can't alter destiny...no one can...","","","",""
"860078459007229952","860078278371143681","3462273137","2017-05-04 10:27:38 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@EGSandrew Rachael's gonna be having a field day....😑","","","",""
"860076809223905280","","","2017-05-04 10:21:05 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Idk why I worry...but ohh do I worry.....","","","",""
"860076579715788800","","","2017-05-04 10:20:10 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","June 9th is going to be scary....😰","","","",""
"858767955919859715","","","2017-04-30 19:40:10 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Any bass players out there...? https://t.co/XYGRbtWkis","","","","https://twitter.com/EGS_Mackenzie/status/858767955919859715/photo/1"
"858039615734808578","","","2017-04-28 19:26:00 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I know I shouldn't tweet things like that but I sense an inevitable sea of fiery hatred....and most of it is all aimed towards me...","","","",""
"858037980891684866","","","2017-04-28 19:19:30 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Everyone's gonna hate me in a few weeks....😣","","","",""
"857931017046421504","","","2017-04-28 12:14:28 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I can't take my eyes off of the countdown clock...#Nervous","","","",""
"857463310446448640","","","2017-04-27 05:15:58 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @EGSworld: Inseparable. @EGSandrew @EGS_Mackenzie https://t.co/jGTsVoAmBw","857310783172222977","4417481065","2017-04-26 19:09:53 +0000","https://twitter.com/EGSworld/status/857310783172222977/photo/1,https://twitter.com/EGSworld/status/857310783172222977/photo/1"
"856151210570788864","856139635428384770","3462273137","2017-04-23 14:22:09 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@EGSandrew And I will sing a lullaby-eee...😊","","","",""
"856011570870177792","855849920628215808","3462273137","2017-04-23 05:07:17 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@EGSandrew Oh my gosh...I..I can't even! 😂🤣","","","",""
"855474694077767680","855474250567868416","3462273137","2017-04-21 17:33:55 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@EGSandrew I love you....😊","","","",""
"855474095819042816","855473947298717698","3462273137","2017-04-21 17:31:33 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@EGSandrew Together and forever more...😊❤️","","","",""
"855473787327963136","855473588073267200","3462273137","2017-04-21 17:30:19 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@EGSandrew From now until the end of time..We'll be together, and you can be sure....","","","",""
"855473269075566594","855472947007553538","3462273137","2017-04-21 17:28:15 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@EGSandrew We got lots of friends, but they come and go....","","","",""
"854762565645340672","","3462273137","2017-04-19 18:24:11 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@EGSandrew I wish you could hold me right now.... 😢","","","",""
"854759874017755139","854756902307319809","834134874470625280","2017-04-19 18:13:29 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@SapphireMae13 I know...but what are the chances I'd ever get discharged from here? It's almost unheard of. They never let any soul go. They're greedy....","","","",""
"854754149937840140","","","2017-04-19 17:50:44 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","When I smile, I smile big and bright..but when I'm sad, my tears could make a ten acre field grow.","","","",""
"854753784853037067","","","2017-04-19 17:49:17 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Some ghosts will never know how it feels to be robbed of a life that was once full of endless possibilities....and out of your control...","","","",""
"854753443130552320","","","2017-04-19 17:47:56 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I can't help it...Call it venting or whining....It's who I am...I'm sorry I'm not a floating source of sunshine and rainbows...","","","",""
"854752869752463360","","","2017-04-19 17:45:39 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I hate seeing people down and depressed..it just makes me wanna cry too...Spirits call me Crybaby Mackenzie sometimes...it's disconcerting..","","","",""
"853692177200939008","","3462273137","2017-04-16 19:30:50 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@EGSandrew Please be careful, Andrew.....","","","",""
"853222564214321157","","","2017-04-15 12:24:46 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I just keep holding on to the slim chance that once our war is over I can relinquish this eternal bond and be where I feel I should belong..","","","",""
"853222144536432642","","","2017-04-15 12:23:06 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","What's the point of celebrating Easter when you know you're not destined to be with Jesus....? 😢","","","",""
"852524574797385728","","","2017-04-13 14:11:12 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I feel like a fish trapped in a bowl...not knowing why I'm here and not being able to be heard. The world passes by as I float in space...","","","",""
"851122488759156736","","","2017-04-09 17:19:49 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Like..it's just weird....Is this how famous humans feel..? That's how I view it...Idk...I don't mind it, it's just strange that's all..","","","",""
"851121950932049920","","","2017-04-09 17:17:40 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Whenever humans follow me on this I get a soothing feeling of love yet creeped out..It's a strange feeling knowing random humans know me...","","","",""
